"","sysrev_id","analysis_id","adriencomte.pro","deviveytia","title","abstract"
"166",95440440,269218,FALSE,TRUE,"Climate adaptation technologies in agriculture and water supply and sanitation practice in the coastal region of Bangladesh","The coastal zone of Bangladesh, covering 32% of the land area and home to 30% of the population, is one of the regions that is most vulnerable to climate change and sea-level rise. The fertile land of the Ganges-Brahmaputra delta provides a productive base for agriculture, and the coast offers a diversity of natural resources, such as marine fisheries and shrimps, forest, salt, and minerals. The high level of physical vulnerability is made worse by factors such as an increasing population density, poverty, and limited access to services, especially water supply and sanitation, energy, and health services. Examples of current adaptation technologies and practices in agriculture and the water supply and sanitation sectors are presented and relevant components of the National Adaptation Programme of Action (NAPA) discussed. Three potential barriers to the effective implementation of adaptation projects have been identified and need to be addressed: lack of awareness of the seriousness of the climate threat; lack of integration of the climate issue in the development of policies, plans, and programs in climate-sensitive sectors; and lack of adequate tools, knowledge, and methodologies for guidance and advice in decision-making. Â© 2015 by Taylor & Francis Group, LLC."
"168",95440442,242452,TRUE,FALSE,"Linking Coastal and Marine Resources Endowments and Climate Change Resilience of Tanzania Coastal Communities","This paper presents findings on the links between coastal/marine resources endowment and climate change resilience to coastal communities in Mchungu and Kivinja' A' village on the coastal zone of Rufiji District in Tanzania. The study focused on exploring the existing coastal resources and their support to communities' livelihood, climatic threats that are experienced, and the role of coastal resources in enhancing communities' resilience. It further sought to establish other enabling factors for climate change adaptation (e.g., gender, education, governance, by-laws, and membership in social networks). The study used focus group discussions, key informant interviews, and household surveys in data collection. Findings show that Mchungu village is endowed with fish, mangrove, natural canal, and floodplains as their major coastal resources, while Kivinja' A' is rich in salt and coconut production. Communities in both villages exploit these coastal resources for their livelihood activities such as fishing, agriculture, and business. The study further found that coastal communities are already experiencing the effects of climate change through temperature rise, flooding, drought, sea-level rise, and storm surges. These affect household food security in terms of fish catch and crop production. The study revealed that coastal and marine resources were important for increasing community resilience (P <= 0.05) to climate change impacts in the studied villages. However, household resilience to climate change impacts was also influenced by gender, by-laws, education, and membership in social networks."
"169",95440443,7674,FALSE,TRUE,"Salinity-affected threshold yield loss: A signal of adaptation tipping points for salinity management of dry season rice cultivation in the coastal areas of Bangladesh","The potential existence of threshold yield loss in dry season rice growing systems under coastal saline environment remains unexplored, a scenario that could have policy relevance in government planning of rice intensification in the coastal areas of Bangladesh. This study applied the adaptation tipping points (ATPs) approach to investigate threshold yield loss from multiple perspectives of farmers affected by salinity. Data were generated from 280 randomly-selected farmers (rice farmers, n = 109; shrimp farmers, n = 107; salt farmers, n = 64) from two coastal sub-districts using a semi-structured survey. Key informant interviews and focus group discussions were conducted to complement the survey results. Our study revealed that despite government actions to promote dry season rice cultivation, farmers have been growing less rice in this season, with salinityaffected yield loss being the prime reason. Most of the rice farmers have considered that they would discontinue rice cultivation in this season due to yield loss, while shrimp and salt farmers have already reduced rice cultivation for the same reason and shifted to shrimp and salt farming as they perceived these enterprises as highly profitable and require less labour than rice farming. Rice farmers would tolerate a greater rice yield loss (23\%) under saline conditions compared with the shrimp (16\%) and salt farmers (14\%). The yield loss thresholds indicate the need for government actions to support and encourage integrated land management for rice, shrimp and salt farming, rather than research and extension efforts for dry season rice expansion alone. These actions could strengthen sustainable livelihood options to ensure food security, and contribute to the achievement of sustainable development goals, for instance no poverty (SDG-1), zero hunger (SDG-2), and good health and wellbeing (SDG-3)."
"174",95440448,233840,TRUE,FALSE,"Individual adaptive capacity of small-scale fishermen living in vulnerable areas towards the climate change in Malaysia","The present study attempts to identify the individual adaptive capacity of small-scale fishermen living in coastal areas that are vulnerable to the climate change in Malaysia. This study is quantitative in nature and involves a total of 240 respondents from four areas in Malaysia. It can be concluded that small-scale fishermen in Malaysia have adaptive strength in two aspects: namely formal and informal networks; and environmental awareness, values and attitudes. Although the fishermen were found to record a high mean score for three other adaptive aspects - local environmental knowledge; attachment to job; and attachment to place - this actually demonstrates their adaptive weaknesses. Employability is another area of concern, as it emerged as the fishermen's weakest adaptive aspect. This study demonstrates the potential of alternative skills, managed retreat, accommodation and protection, information management, periodical assessment and access to credit to produce progressive adaptive capacity of small-scale fishermen in Malaysia."
"177",95440451,2081,TRUE,FALSE,"To Fish or Not to Fish: Factors at Multiple Scales Affecting Artisanal Fishers' Readiness to Exit a Declining Fishery","Globally, fisheries are challenged by the combined impacts of overfishing, degradation of ecosystems and impacts of climate change, while fisheries livelihoods are further pressured by conservation policy imperatives. Fishers' adaptive responses to these pressures, such as exiting from a fishery to pursue alternative livelihoods, determine their own vulnerability, as well as the potential for reducing fishing effort and sustaining fisheries. The willingness and ability to make particular adaptations in response to change, such as exiting from a declining fishery, is influenced by economic, cultural and institutional factors operating at scales from individual fishers to national economies. Previous studies of exit from fisheries at single or few sites, offer limited insight into the relative importance of individual and larger-scale social and economic factors. We asked 599 fishers how they would respond to hypothetical scenarios of catch declines in 28 sites in five western Indian Ocean countries. We investigated how socioeconomic variables at the individual-, household- and site-scale affected whether they would exit fisheries. Site-level factors had the greatest influence on readiness to exit, but these relationships were contrary to common predictions. Specifically, higher levels of infrastructure development and economic vitality - expected to promote exit from fisheries - were associated with less readiness to exit. This may be due to site level histories of exit from fisheries, greater specialisation of fishing households, or higher rewards from fishing in more economically developed sites due to technology, market access, catch value and government subsidies. At the individual and household scale, fishers from households with more livelihood activities, and fishers with lower catch value were more willing to exit. These results demonstrate empirically how adaptive responses to change are influenced by factors at multiple scales, and highlight the importance of understanding natural resource-based livelihoods in the context of the wider economy and society."
"184",95440458,248528,TRUE,FALSE,"Ocean futures: Exploring stakeholders' perceptions of adaptive capacity to changing marine environments in Northern Norway","Globally, the projected increase in sea surface temperature is expected to facilitate large changes in the marine food web, affect coastal communities, marine ecosystem goods and services, global fisheries, tourism, aqua culture and others. This ongoing change takes place on different time scales, and coincides with increasing global demand for seafood, a growing middle class, and expectations of future need for food security from the marine sector. This article contributes to advances in climate change research by exploring, within the context of the results of the viewExposed program for assessing Integrated Vulnerabilities in different municipalities in Norway, to what extent stakeholders in different industries are willing to accept, or expect to be able to adapt to, these new realities. This was investigated through stakeholder driven workshops with stakeholders from maritime industries, commercial fisheries, tourism and aquaculture in Norway using the conceptual modeling tools of systems thinking and Bayesian Belief Networks. Results showed that commercial fishers are worried about quota allocations with changes in fish distribution. The aquaculture industry was worried about allocations of new areas for industry expansion in contested areas in Northern Norway, and the tourism industry was worried about changes in communications (transport) in light of a changing climate. Only the commercial fishers perceived that their adaptive capacity was low in light of these changes, especially the small-scale coastal fishers. This was because they expected the combination between increased power of the aquaculture industry and new species requiring expensive quotas would be too critical."
"185",95440459,824,TRUE,FALSE,"Coastal to inland: Expansion of prawn farming for adaptation to climate change in Bangladesh","The practice of prawn (Macrobrachium rosenbergii) farming is widespread in coastal Bangladesh due to favorable biophysical resources. However, export-oriented prawn farming is particularly vulnerable to climate change in coastal Bangladesh. This study identified different climatic variables, including salinity, coastal flooding, cyclone, sea-level rise, water temperature, drought, and rainfall have profound effects on prawn farming in the Bagerhat area of southwest Bangladesh. Considering extreme vulnerability to the effects of climate change on prawn production, one of the adaptation strategies is to translocate prawn culture from coastal to inland (i.e., Bagerhat-Gopalganj) that appear less vulnerable to climate change. Although the prospects for prawn-carp polyculture and integrated prawn-fish-rice farming are positive in Gopalganj, a number of challenges were identified for the expansion of prawn culture. We suggest that institutional support would help to adopt prawn production. (C) 2015 The Authors. Published by Elsevier B.V."
"186",95440460,1374,TRUE,FALSE,"Incremental and transformative adaptation preferences of rice farmers against increasing soil salinity-Evidence from choice experiments in north central Vietnam","Context: Increasing salinity levels demand adaptative and transformative changes in farming systems in regions affected by saltwater intrusion intensified by global climate change. The study area, a narrow delta affected by salinity intrusion due to rising sea levels as well as by diminishing rainfall during the dry season in north-central coastal region of Vietnam represents this global challenge. Apart from the level of salinity, farmer characteristics, legal framework and the expected returns to investment on the available choices shape the future trajectories of these farming systems. Nevertheless, relatively less research efforts are focused on understanding these choices and the trade-offs. Objective: The study focus on identifying and determining the acceptability of adopting stress tolerant rice varieties, changes in cropping sequences, or a transformative shift to aquaculture conditional to the degree of saltwater intrusion as well as gaining insight into required policy changes to facilitate the adaptation and transformation in rice farming deltas. Methods: The current study reports a novel choice experiment (CE) approach to analyse the roles of risk attitude, expected returns, production costs, effort levels and legal restrictions on the preferences for adaptation alternatives and their interactions with salinity levels using random parameter models. Results and conclusions: The results reveal the role of perceived risks and labour efforts in adaptative choices and highlight the need for risk offset mechanisms as well as labour-saving interventions. The simulations using the estimated random parameter models predict farmers affected by salinity below the critical threshold of 4 dS/m of electrical conductivity (EC) will have a 34.4\% adoption rate for traditional rice and a 43.6\% rate for salinitytolerant rice varieties, which will drop by 2 to 3 percentage points when the current legal restrictions on conversion to aquaculture are waived. In the case of farmers facing higher salinity levels, aquaculture would likely become the dominant option, with 40\% of the cohort of farmers adopting aquaculture (17.2\% adopting shrimp and 22.4\% adopting polyculture), followed by saline-tolerant rice (36\% to 38\%). Significance: The results reveal the need for increased investment in rice breeding for salinity tolerance, market development for alternative crops, introduction of risk offset mechanisms and a planned shift to transformative alternatives such as aquaculture. The findings of this study call for a balanced effort for adaptative and transformative options for rice farmers, infrastructural options preventing salinity intrusion and enhanced global mitigation efforts to reduce the possible rise in sea levels and limit salinity intrusion."
"187",95440461,316,TRUE,FALSE,"Community- based climate change adaptation strategies for integrated prawn- fish- rice farming in Bangladesh to promote social- ecological resilience","Farming freshwater prawns with fish in rice fields is widespread in the coastal region of southwest Bangladesh because of favourable resources and ecological conditions. This article provides an overview of an ecosystem-based approach to integrated prawn-fish-rice farming in southwest Bangladesh. The practice of prawn and fish farming in rice fields is a form of integrated aquaculture-agriculture, which provides a wide range of social, economic and environmental benefits. Integrated prawn-fish-rice farming plays an important role in the economy of Bangladesh, earning foreign exchange and increasing food production. However, this unique farming system in coastal Bangladesh is particularly vulnerable to climate change. We suggest that community-based adaptation strategies must be developed to cope with the challenges. We propose that integrated prawn-fish-rice farming could be relocated from the coastal region to less vulnerable inland areas, but caution that this will require appropriate adaptation strategies and an enabling institutional environment."
"195",95440470,233167,TRUE,FALSE,"The Impacts of Fishermen's Resilience towards Climate Change on Their Well-Being","This study aims to examine the mediating effect of climate resilience on the relationship between socio-economic, social relationship, social environment, and sense of community with fishermen's subjective well-being (life satisfaction, positive feeling, and negative feeling). This quantitative study performed a multi-stage sampling and selected 400 fishermen as respondents. For analysis purpose, this study relied on Partial Least Square Structural Equation Modelling (PLS-SEM). The structural model concluded that socio-economic, social relationship, social environment, and sense of community explained 55.4\% variance in resilience. The mediating analysis confirmed the resiliency mediating effect on all twelve hypothesized relationships. A number of recommendations related to extending the areas of the study, to focus specifically on the small-scale fishermen, and to consider the inclusion of several others' additional mediating effects were highlighted."
"206",95440481,172664,TRUE,FALSE,"Resource perception, livelihood choices and fishery exit in a Coastal Resource Management area","Effective measures to reduce fishing pressure require understanding of livelihood strategies and fishers' decisions to exit or stay in a fishery. Face-to-face semi-structured interviews were conducted with 85 municipal and small-scale commercial fishers within the Bayawan Coastal Resource Management (CRM) area in the Philippines. Fishers rated management measures, perceived changes in overall catch and finfish abundance, and were asked their expectations regarding future changes in finfish abundance. They also estimated their likelihood of exiting the fishery under theoretical catch reduction scenarios. Less than half of fishers would exit the fishery if catch halved. Binary logistic regression showed that negative perceptions of future finfish abundance significantly explained increased likelihood of exiting the fishery (z = -2.606, df 1, p < 0.05) and that increased livelihood diversity weakly supported staying in the fishery (z = 1.818, df 1, p = 0.069). Although stock management measures enjoy strong support in the studied area, fishers are most likely to exit fisheries when they consider stocks to be in continuing decline rather than sustainably managed. Increasing livelihood diversity reduced fishery exit likelihood as alternative livelihoods supplement and complement otherwise non-viable fishing. Results indicate incorrectly targeted livelihood diversification measures aimed at reducing fishing effort may achieve the opposite of their intended effect. If alternative livelihood options are to be viable and effective in reducing fishing pressure these must be attractive to fishers identified as willing to exit the fishery, and by their nature or conditions pre-require foregoing of fishing activities. (C) 2012 Elsevier Ltd. All rights reserved."
"208",95440483,12729,FALSE,TRUE,"Perceived impacts of climate change, coastal development and policy on oyster harvesting in the Southeastern United States","Oyster harvest has long been an important industry of the eastern coast of the United States. However, coastal development, overfishing and climate change are threatening this industry and way of life. This study examines the perspectives of oyster harvesters and merchants in Brunswick County, North Carolina, USA to explore their capacity to adapt to these changing conditions. Using in-person, semi-structured interviews researchers collected information from seventeen interviewees, generating qualitative data that were analyzed using MAXQDA software. From the data collected several themes emerged revealing mixed sentiments on the impacts of climate change but a widespread sense that development and regulations threaten livelihoods and cultural heritage. This social-ecological system (SES), created through centuries of regulation, is experiencing rapid population growth with concurrent coastal development; it also includes oyster industry workers who have limited voice in decision-making but are affected by the political ecology of the region. Deliberately including oyster harvesters and merchants when formulating and implementing policy can help to strengthen the adaptive capacity of this SES while sustaining Brunswick County's coastal heritage. (C) 2014 Elsevier Ltd. All rights reserved."
"210",95440485,6374,TRUE,FALSE,"Vulnerability of the coastal zone of The Gambia to sea level rise and development of response strategies and adaptation options","The coastal zone of The Gambia consists of 70 km open ocean coast and 200 km sheltered coast. Only about 20 km of the open coastline is significantly developed and this includes Banjul (the capital city), Bakau and Cape St. Mary, Fajara and the Tourism Development Area (TDA). Tourism is the most important economic sector in the coastal zone and contributes about 10\% of the government revenue. Fisheries and agriculture are also important coastal industries. In this study the Aerial Videotape-assisted Vulnerability Analysis (AVVA) technique has been used to provide a detailed analysis of vulnerability to sea level rise, and adaptation strategies have been identified. The data used includes a video recording of the coastline, color infrared and black and white aerial photography, topographic maps, bathymetric maps, a geological map of The Gambia and still photographs. The data have been used to characterize the coastal zone into 9 geomorphological units, wherein the cultural and heritage sites of economic importance have been delineated and characterized according to their biophysical and economic importance. Future erosion rates have been projected by applying the Bruun Rule, and future total land loss due to inundation in response to global warming and accelerated sea level rise has been determined. The sea level rise scenarios considered are 0.2 m, 0.5 m, and 1.0 m per century. Inundation is estimated to be about 92.32 x 10(6) m(2) for a 1.0 m sea level rise, 45.89 x 10(6) m(2) for a 0.5 m sea level rise and 4.96 x 10(6) m(2) for a 0.2 m sea level rise. The greater part of this area lost will be wetlands and mangrove systems important for fish spawning areas and habitats for wildlife. Shoreline retreat is estimated to vary between about 6.8 m in cliffy areas to about 880 m for more flat and sandy areas based on the Bruun Rule. Population and physical structures at risk have been determined. Attempts have been made to report this loss in monetary terms, but firm figures are not yet available. Only one unit of the coastal zone has been evaluated. In this unit, it is expected that the capital city will be completely lost through both erosion and inundation within 50 to 60 yr with a total of 42000 persons displaced. Lands and physical structures to be lost are estimated at US\$ 217 million. Response strategies and adaptation options identified include: innovative sand management, building and rehabilitation of groins, construction of revetments to protect important areas, construction of sea-walls/bulkheads, public outreach and awareness, building regulations and urban growth planning, wetland preservation and mitigation, and development of a coastal zone management plan."
"224",95440500,234167,TRUE,FALSE,"Activating Adaptive Capacities: Fishing Communities in Northern Norway","We have increasingly more knowledge about the factors and processes that determine or shape adaptive capacity, but few studies that specifically address whether such capacity in fact is activated and used. In this chapter we draw on findings from a number of related empirical studies undertaken in northern Norwegian coastal communities between 2007 and 2014 to investigate whether the narrative, `vi star han av' - ``we face whatever comes{''}, as a subjective dimension of adaptive capacity, reflects how climate change is perceived and acted upon. We argue that the narrative reflects a discourse within which fishers perceive changing weather and the need for climate adaptation. By looking at this narrative as an analytical object we are able to identify how underlying meaning and worldview among fishers structure and constitute aspects of latent adaptive capacity."
"227",95440503,244897,TRUE,FALSE,"Community resilience mechanism in an unexpected extreme weather event: An analysis of the Kerala floods of 2018, India","Community actions have a significant role in disaster response. This study analyses the socio-demographic and satisfaction variables within community resilience in the context of the Kerala floods of 2018 and elucidates its gaps from the perspective of a developing country. The data from the self-administered questionnaire survey among the fishermen who were prominent amongst the first responders during this flood were analyzed using SPSS. Global literature was also reviewed to examine the status of community resilience and its effectiveness in holistic disaster management. This is an issue which has rarely been addressed in past studies from India. The results indicate that the majority of the first responder-fishermen had a primary educational background. They have participated in the rescue mission as groups without much previous experience, but felt high levels of self-satisfaction afterwards. These first responders were well aware of coastal disasters, but had limited exposure to disaster preparedness and mock drills. Although hampered by limited physical and financial resources, they could effectively utilize their social capacities during the disaster. The importance of bottom up approach in disaster management, comprising `Community-Based Disaster Risk Management' (CBDRM) which can transform vulnerable communities to resilient communities is underlined in this study. The importance of the resilience of the local population, especially the fishermen community in local disaster response is highlighted, and the shortcomings in the current practices are identified. An attempt is also made to recognize and promote further potential through training, awareness and proper early warning."
"231",95440507,10264,TRUE,FALSE,"Cross-scale Adaptation Challenges in the Coastal Fisheries: Findings from Lebesby, Northern Norway","Cross-scale adaptation challenges in the coastal fisheries in Lebesby municipality, Finnmark County, northern Norway are examined on the basis of fieldwork conducted there. Although fishery actors in Lebesby are aware of, experience, and describe a number of connections between climate variability and coastal fishing activities, they do not characterize their livelihoods as being particularly vulnerable to climate change. Nevertheless, they identify a range of social factors that shape the flexibility of coastal fishing activities and livelihoods to deal with changing environmental conditions. We argue that these factors, and actors' perceptions of their own resilience, constitute important aspects of adaptive capacity and may challenge local responses to climate variability and change. We identified four adaptation arenas: local perceptions of vulnerability and resilience to climate change, Lebesby's social and economic viability, national fishery management and regulations, and the markets and economy of coastal fishing. The adaptation arenas arise and interact across geographic and temporal scales, creating specific barriers and opportunities for local adaptation. Our findings suggest the need to pay close attention to the cross-scale adaptation challenges facing Arctic communities that depend on natural resources. The concept of adaptation arenas helps to illustrate these challenges and should be applied more widely."
"246",95440521,7500,TRUE,FALSE,"Implementation challenges of climate change adaptation initiatives in coastal lagoon communities in the Gulf of Mexico","This paper explores some key challenges the Mexican government may face when implementing climate change adaptation initiatives in coastal lagoon communities in the Mexican state of Tabasco, in the Gulf of Mexico. I discuss some challenges state initiatives of this type may encounter considering the existence of local contentious political issues among various actors -fishers and the state-owned oil industry -that are at the core of the emergence of coastal environmental changes in the study site. A close analysis of local political, economic and environmental processes in coastal lagoon communities illustrates the existence of contentious issues among powerful actors over territory and its resources. It is in the context of these local, on the ground, issues that I argue that climate change adaptation interventions become highly political. I also argue that climate change policy analysis must be done in light of past and failed state interventions in Tabasco that have had a negative impact on ecosystems and fishers' livelihoods. My analysis of climate change adaptation initiatives and fishers' views on their local environmental problems is based on political ecology approaches to environmental narratives and critical literature on climate change."
"251",95440526,7668,TRUE,FALSE,"Protective factors for mental health and well-being in a changing climate: Perspectives from Inuit youth in Nunatsiavut, Labrador","The Canadian Arctic is experiencing rapid changes in climatic conditions, with implications for Inuit communities widely documented. Youth have been identified as an at-risk population, with likely impacts on mental health and well-being. This study identifies and characterizes youth-specific protective factors that enhance well-being in light of a rapidly changing climate, and examines how climatic and environmental change challenges these. In-depth conversational interviews were conducted with youth aged 15-25 from the five communities of the Nunatsiavut region of Labrador, Canada: Nain, Hopedale, Postville, Makkovik, and Rigolet. Five key protective factors were identified as enhancing their mental health and well-being: being on the land; connecting to Inuit culture; strong communities; relationships with family and friends; and staying busy. Changing sea ice and weather conditions were widely reported to be compromising these protective factors by reducing access to the land, and increasing the danger of land-based activities. This study contributes to existing work on Northern climate change adaptation by identifying factors that enhance youth resilience and, if incorporated into adaptation strategies, may contribute to creating successful and effective adaptation responses. (C) 2015 Elsevier Ltd. All rights reserved."
"255",95440530,6713,TRUE,FALSE,"Coastal erosion narratives in the Gulf of Mexico: Implications for climate change governance","This article presents a study of coastal erosion narratives by the Mexican government, scientists, and local fishers in coastal communities in the Gulf of Mexico. It shows how plans to enroll fishing communities into programs to adapt to or to slow coastal erosion are based on simplified environmental narratives that rely on global climate change as the main cause of coastal erosion. They discount local processes and local explanations, as well as scientific studies that outline complex multi-scalar explanations for coastal erosion. Government narratives frame global climate change, as manifested in increased frequency and intensity of hurricanes and other hydrometereological extreme events and sea level rise, as the main causes of changes in coastal environments, including coastal erosion They fail to acknowledge other causes including the environmental degradation caused by the influential oil industry. In contrast, fishers' more complex and locally -embedded narratives are shaped by their long-term struggles against the state-owned oil company, whom they hold primarily responsible for coastal erosion in their communities. Scientists similarly emphasize the importance of local and regional processes, with climate change understood primarily as having significant impacts in the future, but less so in the recent past. Differences in temporal and geographical scaling among these narratives highlight the importance of considering how the translation of climate change adaptation programming from the global to diverse local situations would ideally consider site-specific power relations as well as community-based perspectives."
"259",95440534,7693,TRUE,FALSE,"The Canadian Arctic Marine Ecological Footprint and Free Prior Informed Consent: Making the Case for Indigenous Public Participation through Inclusive Education","Public participation of the Inuit concerning climate change adaptation in the Canadian Arctic is essential, given the extensive knowledge they possess about their traditional territories, especially as it relates to resources management. Unfortunately, much of this knowledge is not incorporated into the tertiary educational system and hence not part of the knowledge set of the people most likely to engage in public policy discussions and decisions. This article adopts a transdisciplinary approach, using an analysis of historic fish and marine mammal catch with the marine ecological footprint calculated for the year 2000. This scientific data, supported by the principle of free and prior informed consent as defined in United Nations Declaration on the Rights of Indigenous Peoples as well as the Tsilhqot'in case in Canada, demonstrates the need for inclusive education. We conclude that indigenous participation in climate change adaptation policies would benefit immensely from the offering of university programmes that incorporate, in a meaningful way, Inuit traditional knowledge and indigenous rights."
"266",95440541,104529,TRUE,FALSE,"Resilience of small-scale marine fishers of Bangladesh against the COVID-19 pandemic and the 65-day fishing ban","In 2020, the COVID-19 pandemic-induced nationwide lockdown (March-May) and the conservation-related 65day fishing ban (May-July) in Bangladesh restricted its small-scale fishing folks from fishing for an unprecedented 130 days. This study assessed the resilience of two small-scale fishing communities in Barguna and Cox's Bazar districts against these subsequent disturbances. The research developed a conceptual framework based on Zurich Flood Resilience Alliance's `5 C-4R Framework', which considers the relationships among a wide range of sources of resilience with livelihood capitals and resilience properties. By analyzing 100 interviews with marine fishers, this paper showed how weakened livelihood capitals affected the resilience of fishing communities. Dependency on a single income source, inadequate access to aid and financial and natural resources, lack of skills and knowledge on alternative livelihood options, absence of strong social protection and social networks, social inequalities, institutional incompetence, and lack of community leadership and cooperation severely affected fishers' resilience. This study revealed that financial capital is directly linked with all resilience properties that require special attention to ensure fishers' well-being. The paper recommended drastic investments in small-scale marine fishers through long-term livelihood improvement and asset creation, skills and knowledge development on natural-resource-based alternative income generation activities, and an exclusive social safety net program for these fisherfolks. The approach and findings of this study can guide other emerging economies who enjoy significant contributions from the marine fisheries sector to understand the resilience of their fishers and to address the prevailing challenges owing to the pandemic and other natural calamities."
"268",95440543,13839,TRUE,FALSE,"Impacts of climate change and adaptations in shrimp aquaculture: A study in coastal Andhra Pradesh, India","Shrimp aquaculture in India is synonymous with coastal aquaculture. Like other agricultural activities, it appropriates a wide range of environmental goods and services, and is vulnerable to impacts of climate change as the cultured animals are sensitive to various kinds of biotic and abiotic stressors. Climate change affects the shrimp aquaculture directly by extreme weather events and seasonal variations, and indirectly alter the primary and secondary productivity, structure and composition of the ecosystems or by influencing the availability of fishmeal, fish oil and other goods and services required for aquaculture farmers. The perceptions of farmers on the impacts of climate change on shrimp aquaculture in inland and coastal areas of Krishna District, Andhra Pradesh are discussed. Cyclone and flood were perceived by all the farmers, whereas irregular season, high temperature, heavy rain and drought were perceived by 79, 89, 91 and 5 \% of farmers, respectively. Environmental, biological, and economic impacts of climate change drivers on aquaculture indicated 20 to 30 \% loss due to seasonal variations and 50 to 100\% loss due to extremely heavy rainfall, flood and cyclones. The economic risk rating was high with flood followed by the cyclone and the magnitude was more in coastal areas compared to inland areas. There is no universally applicable list of adaptation measures and need to be evaluated for individual aquaculture systems. Autonomous and planned adaptation measures to be implemented by farmers, researchers and policymakers are discussed for climate-resilient aquaculture. Planned adaptive measures are either at the primary level or non-existence, hence policy initiatives are required to formulate planned adaptive measures to enhance the adaptive capacity of the farmers."
"270",95440545,97549,TRUE,FALSE,"Aquaculture-based production systems for the livelihood security of coastal farm families in the risk-prone agro-ecosystem of India: an appraisal","Sundarban area of West Bengal State in India is a complex-diverse-risk prone agro-ecosystem grappled with degraded soil, water logging, brackish ground water, and marginal farm holdings. South west monsoon rain-fed paddy crop is the major production system, and the farm families have to migrate to other areas for employment during the post-monsoon season. Farm pond-based rainwater harvesting and optimally utilizing it to cultivate vegetables and rearing fish in the pond would provide them employment, income, and self-reliance on a sustainable basis which is the solution. Rainwater harvesting-based production system models, namely, land shaping for aqua-agri integration, brackishwater pond-based polyculture, and paddy-cum-fish farming, were implemented to 370 beneficiary families to enhance the livelihood security at Kakdwip and Namkhana blocks of South 24 Parganas district of West Bengal. A set of 15 indicators were identified by the subject matter scientists to assess the outcome of the interventions in enhancing the livelihood security of farm families. Impact analysis was done using ``before vs after{''} and ``control vs treatment{''} research design. Primary data were collected from 120 proportionate random sample beneficiary farm families using a structured questionnaire and focus group meetings. The findings substantially indicated that all the three farming models have contributed for enhancing the livelihood security levels of the farm families in terms of creation of livelihood asset mainly the farm pond, conservation of natural water for multiple cropping and aquaculture, enhanced capabilities, employment generation, improved production from the land/pond, enhanced income from farming, access to better market price, access to development institutions, minimization of migration during off-season, enhanced self-reliant, and social status of the farm families. The analyses have confirmed that all the three farming models have significantly contributed for the livelihood security of the coastal farm families (p < 0.01). Therefore, the study suggested that the government may evolve a scheme with inbuilt subsidy in up-scaling these models in the entire Sundarban region for enhancing the livelihood security of farm families."
"282",95440557,10628,FALSE,TRUE,"Vulnerability and Adaptation in Two Communities in the Inuvialuit Settlement Region","This chapter compares the Inuvialuit communities of Ulukhaktok and Tuktoyaktuk in the western Canadian Arctic according to the CAVIAR analytical framework. The comparison highlights examples of similarities and differences in exposure-sensitivities and adaptations related to subsistence harvesting and community infrastructure. Subsistence hunting, fishing and trapping on the land and sea ice continue to be valued activities for Inuit in Ulukhaktok and Tuktoyaktuk. In both communities, however, changes in seasonal patterns, sea ice, and weather variability have affected the health and availability of some important wildlife species and have exacerbated risks associated with hunting and travel. Infrastructure in Tuktoyaktuk is highly susceptible to damage due to degradation of permafrost and coastal erosion. The shorelines of the community are prone to erosion, particularly during strong storm events that have damaged buildings and roads in the past. A prominent difference in the capacity of these communities to deal with climate-related exposure-sensitivities is the diversity of their economies and extent to which they rely on subsistence harvesting. This comparison provides insight into the localized nature of vulnerabilities, and policies to support adaptation."
"283",95440558,246773,TRUE,FALSE,"Community perceptions link environmental decline to reduced support for tourism development in small island states: A case study in the Turks and Caicos Islands","Increasing tourism and population growth, exacerbated by migration, are placing pressure on the health and resilience of natural resources worldwide. This is evident in complex tropical coastal systems, particularly Small Island and Small Island Developing States (SIDS), where limited resources, fragile environments and climate change risk result in sustainable development challenges. The relationship between residents' perceived impacts of tourism, marine resource health, and support for future development was investigated through face-to-face semi-structured interviews with 57 stakeholders, including heads of households, fishers and those working in the tourism sector, on the Island of Grand Turk (Turks and Caicos Islands). Perceptions of the economic, social and environmental impact of tourism were not significantly associated with residents' socio-demographics. However, Turks and Caicos nationals were significantly more likely to support future tourism development than non-nationals. Residents that linked tourism with environmental degradation showed significantly reduced support for tourism development. Proposed developments which promote overnight tourism were viewed most positively by respondents highlighting a need for strategic growth of the tourism sector to consider income generation outside of the cruise terminal. Results highlight the need for more balanced consideration of the effects of tourism on socio-economic factors along with environmental considerations in communities highly depended on marine resources. Thus, context-specific understanding of residents' perceptions and how this might influence support for future development is vital to building policies that are reflective of local priorities."
